,user_id,business_id,text,date,compliment_count
914,3DvyCdzhr3PKbfK8QyRIoA,6UXzAVLeWPUIlBtHrbS0-g,Excellent dough and marinara! Try the white pizza if you like cheese and garlic!! Best thin pizza around!,2013-12-21 02:03:06,1
956,8PFZs6fsRwMafqaJV2nOoA,XaeCGHZzsMwvFcHYq3q9sA,"It's just a damn carry out or delivery pizza hut, what's not to like?",2015-03-31 06:29:07,0
958,I2OXWsGgBpmSAgeU43nuDQ,uvPv-iPbOtp0Zhgzwn0A3w,What can beat Summer at The Terrace?,2014-05-29 19:50:30,1
962,2M9m15DtMgoUyxMfXey4Yw,YTyAiyMYjJrsLqf8ErsRzg,Food here is always good and decent price,2013-09-13 17:00:35,0
965,F5JAmndBjJ_hUXRmaKJecg,lpel3pRFAzlow7u2TJMz4Q,Come early to get a covered patio seat!,2016-05-31 22:07:21,0
982,HRNysSGlkeq-Fjud0k0Y4Q,ZliwQrjUnAosBLM8W_bsGQ,Simply the best pizza in Madison.,2016-09-05 17:33:34,0
984,yRKigT6QljbO--QYjOX1xw,iVijDgb-EHrG7oXsyT0mCQ,Get the Antonio's Salad and an order of Pepperoni Nuggets with sauce for dipping...yum!,2017-03-21 01:27:06,0
1039,hqDoASpO-Dkn-NQdmlotyg,WtO8eoYmrc2_8kuXanug2Q,Not too crowded on a Sunday evening.,2014-05-25 23:10:57,0
1044,M9TjYmTgHayJ22cNkyvW_g,8xrwjD-Udv7cm_emVcVo3A,"If you like sweet sauce, try their pizza!",2017-08-25 20:46:07,0
1047,yP1K3CMHa8cxs3cEuh__-Q,5jWBMCoR8aAXBM9RNyzzbw,Just... no. Avoid at all costs!,2014-04-23 06:20:45,0
1067,JBA9vNA45OvcUq1t_qe-0Q,41LcUz0kXaYHiMf8rUS_aQ,Outstanding and i have had tons of Pizza from NYC TO LA.,2017-05-10 18:29:04,0
1084,N_LyFYrey_LuxJFkdFwRkw,CipRVpM7YzsE-9U9wf2YNQ,Deck is pretty awesome!,2014-08-26 16:23:51,0
1120,v4QvQ26L0M1HJFd8AKxzTA,Xra1TtWtf069Am5hHWs3Ug,Great Italian spot. Meat sauce is amazing,2013-04-14 17:03:03,0
1138,X7mVSZxStPxD4GbN_29pYQ,ynKAUSYi3c8M-rkVJI1PcQ,Pietro DiPietro makes his own sausage so sausage anything is delicioso!,2018-02-03 16:54:07,0
1151,Pze_9qbAbGkw5QACWZB5VQ,XM2qN3PiQbfSYo6zmHgSlQ,They've released a new menu for Summer 2012.,2012-06-08 16:19:12,0
1169,5JVY32_bmTBfIGpCCsnAfw,i_1ORltzRXvf9H2rvfS-Ag,Great family owned place. Gyros and grape leaves are wonderful!  They also sell homemade olive oil and homemade Greek salad dressing.,2013-07-19 23:43:15,0
1183,yAn6ZOGFdk4cwloZKxGM1Q,0qsarzXaZau8REdE0rToxA,"AMAZEBALLS pizza!!! Nothing better than this pizza!!! 
It's the best. Get some. Or don't but you'd be silly not to. 
Word to your mother.",2017-03-27 05:30:44,0
1234,B0L6WgKlb9MnRQSjcqYTAA,lpel3pRFAzlow7u2TJMz4Q,Love the atmosphere.,2016-07-30 01:18:18,0
1235,2QEfrhLKWeW2wOuTkmMaHw,cyIUABtOaxJoJXTQVPj8DA,Love the Popeye pizza!,2015-02-21 19:49:37,0
1245,VMxy9e9oZaVf-o1ZbqVsBw,6kD0vTLj3oZJm7kXRSvfKw,Real Charming Decor,2012-01-15 16:49:55,0
1294,sBF2YVvxqfQiZZ94Xmoggw,pv4QpLQEl4LPMthFIgnfSg,Best pizza I've had in a long time. Gotta give it a try. I'll definitely be back.,2017-07-14 19:26:48,0
1301,I1Jhth-yxtz4mty6C2sWqg,Aw4HH_bjUL8L_EU61mgQHg,"A longtime Cleveland classic -- small, old school decor, and truly Tasty pizzas.",2011-06-04 17:52:54,0
1307,LnxWoHJ3vnI8lTGXDoYAGQ,lTKfkTHuD0qRt6OaocI-pg,"Great food! Great service! A bit busy, but that's expected at a nice place.",2015-09-22 17:31:31,0
1308,hjcOqlZLCvOQvwMdLsiOcw,XM2qN3PiQbfSYo6zmHgSlQ,"Ummm, go browns?!?",2010-11-21 20:34:18,0
1338,LdimaG6T_CXFI0jyrZwgag,kmq0Y15icHK36kpJyho_Zw,"The pizza is good, not great.",2016-12-11 16:54:00,0
1357,FqNT4NXpauSXVzP9TXHkMg,C37hwsGUHn_3-il0ypeY-Q,Great brunch!,2014-08-24 18:38:39,0
1387,e8YiilZmbi7SaWYLk4vpfg,uvPv-iPbOtp0Zhgzwn0A3w,Hellur cheap breakfast!,2011-04-15 13:02:39,0
1389,Vc2LF9WWbzQ7LWdyOIMZEA,7xHbnGo4MXFkBm6gYSu_xg,"Waiter"" Brandon T"" rocks...just sayn",2014-03-15 00:24:10,0
1401,vdjV0azMGBy2zpd69yefAw,fiRbomFAAtfTYOTTtnDUcA,Great beer selection,2014-08-24 18:40:52,0
1422,dl580ufzEDN8MO48biWkDQ,NN6HpdvQlGZUVjBwzhgUWQ,Grouper sandwich and asian nachos are my weakness.,2012-01-24 04:41:45,0
1443,B_4cl4IGRqYb0wQSe-rYjQ,bOwvJUb8A9MekXsK_SrftQ,Nope,2018-01-14 03:13:14,0
1468,q3GRR8jyPP-u2PvB3i1P8A,cdLjMoQPRtdWN4g6LW650w,Big food portions. Homemade pasta from Ohio City Pasta. Friendly staff.,2017-09-23 07:45:50,0
1478,hj1uOV27vN_3KfD3Qd4dTA,o47aY911-1rK9tHeXOWxFg,Best pizza in the EastEnd!!,2018-01-31 22:48:28,0
1480,NfU0zDaTMEQ4-X9dbQWd9A,YgHp9MdZ1vVdYyMEro4TtQ,"Top picks: pizza, corned beef/Reuben. So damn delicious.",2014-03-13 15:29:43,0
1485,ztaRNqmCKXWHcQJbYAMo6Q,G5qOZI12XTSowKZzlq_5lw,I love this place so much. That's food is really good and it has really good service,2018-01-22 03:16:18,0
1503,g7thn7odpXlknEpBC8gmjQ,oPvYovnl06fy5W0e51zjMQ,"Burgers are excellent, decent selection of microbrews on tap (I'm a fan of stouts and porters) and they finally added wings to the menu. Dozen on the way, review to follow.",2012-11-17 16:15:05,0
1516,CCk1ZSI62_2curEBdn4FXw,G6IR0pYAjqn6qOwdBBA4Wg,20 mins... add 20 more and then gabe me an attitude !!!! wtf,2017-07-07 02:27:41,0
1556,efBYMqYUmo54Bv66m9Y7AA,djW8gh3JJ-__NCxx1YQaHg,Been a staple in Eastlake my whole life. Best doughnuts in town.,2016-01-18 02:25:32,0
1567,GefiDYsb2U_-3ujGnheSpQ,Sb2a5N9gSLICYkMVSjszsA,Fruit parfait is really good!!,2013-12-17 17:54:35,0
1589,owj_Ij0UvMi8ZiGa_Y_deg,iytPyg_lc_cBb3id1oaDGA,"So I got the pepperoni meatball banana peppers square pie, not as good as the best of jets. U start adding all that stuff it doesn't bake the same. My 2 cents",2017-09-17 23:03:12,0
1596,iFGUVhypIzWNZfNeLH7itg,qML8HCfDh7vmIxvbt1QgOg,Not very crowded now,2011-10-04 23:02:49,0
1626,hMry-aR2iJMC6OdLosr31w,JZ4ZRdRSllhuAt94tFCH8w,"Checking it out for the first time.....review to come. The wings with the carmalized onions are fantastic...no sauces, just light seasoning",2012-04-25 16:05:32,0
1661,0tC5OOTuwvPGnnqhPCoRSw,GO6HVcOtwuIOSzys6Qut9w,Love the Chicken Paprikash rice bowl!,2013-11-26 04:28:34,0
1732,bmSuFvdMyF66PDUZr9VfoQ,Blw30ULdFKSOgCmf9lfGLg,Specilaity vegetarian pizza with thin crust is my favorite! I went for thin crust and less cheese and it is delicious. I didn't find it greasy or heavy. I was able to eat four slices.,2017-11-27 16:55:24,0
1750,7Ia5yRck89GVyHzWZKRAYw,C37hwsGUHn_3-il0ypeY-Q,One of my favorite bloodies.,2012-10-20 17:40:19,0
1780,mIyOekSeriEs7kZ9UHGF6Q,OXrFWgoz533T8tMRemkiww,Just go. Wine bar one of the coolest secret places in Pgh.,2015-02-01 12:29:00,0
1783,fFPc6xeOebK1ns8qYuUfew,8xrwjD-Udv7cm_emVcVo3A,Pizza by the slice = the way to my heart,2013-09-15 18:07:32,0
1792,hlFKLZOilAEAmbRlQxMluQ,aaJ-RaUdHyB4R3U4qNbRBA,"I'm Definitely coming back, wonderful service, and very friendly.",2014-03-14 01:02:04,0
1796,eTZ6nVrpqnObmk4G6XDIuQ,oPvYovnl06fy5W0e51zjMQ,Love everything about it.....every staff member is nice&professional&dare I say happy to be there.,2013-12-09 17:43:27,0
1806,BYHm-dCBHRtiUDgOfFgLhw,TG2lWzpspxiVL9kDfGt5Eg,Lunch!  They have a lunch steak special so stay tuned!,2014-03-26 15:47:44,0
1834,JDvHUZmWy_cYe-j76gZOXQ,Eg_M8eeu9SDEdbP7iUmVbQ,A veggie burger like no other!,2013-08-16 17:11:23,1
1838,vO1a12SLh9EgKLnEw9vkcg,RMEzxhYfpnEsWlfozit_xw,it's been a bitchin' week. time for a celebratory beer or three!,2011-08-19 00:51:34,0
1842,S_hw1Bnzwz9Ekag70zQoQg,F56TiSa71Tk4PIQ0HN8oag,"Average food. Good selection of salads. Consistently good, never great.",2015-11-11 02:53:05,0
1870,kpuZ8J_zoBxwUDf9DGwGEA,ik5eS5kHpz7KVNLJCpJkXA,Steak Rolls were epic!,2016-01-08 04:29:00,0
1911,WC235EldJD3vxmh7VFnGpQ,B5hl4fV8ZmwN2bLDgdr0Fw,Fact: Yuengling makes an Oktoberfest beer and it's not that bad.,2012-09-02 21:32:19,0
1937,0tC5OOTuwvPGnnqhPCoRSw,lHLNQnEHwCJ_CROCfCxEzw,1/2 price on all pizzas every Monday from 4 - 9pm! Dine in only.,2016-04-18 01:25:21,0
1952,7TEDfRvYTB3DSXgf3Cj_BA,Zja7ykq3icDzkN20XX6j1w,Late night greek pizza and gyros!,2012-03-19 03:20:38,0
1958,hYpMoyAkPOmEGk4jo7udwQ,Xra1TtWtf069Am5hHWs3Ug,This is by far the best Italian I've ever had. I usually get the lasagna or spaghetti with meat sauce. Everything on the menu is fantastic!,2014-06-05 16:30:32,0
1961,cBTAOHeNqzhmdAY5e8noAQ,2og7CivCoU54PKpvlvxOYw,No longer BYOB. Great vegan pizza!,2014-09-28 12:06:49,0
2012,E73xr_twLJZemdGrXWQobQ,zUE7mWTE5Ee8adPD1eWbUg,"Ribs, literally, fall off of the bone! You can't even pick them up; you've gotta use a fork!",2012-02-12 00:28:06,0
2021,QQtoHnP0cP7nzNnUob_1CQ,Gepy89vtr6J2LFTb-dUPrQ,"Love the salad bar, pizza and wing buffet.  My guilty pleasure on movie day.",2012-04-05 15:50:01,0
2049,vlu3tkXF9uMgzyWgHnS0sg,hbxMqxvQVWguUnkWXsEdxg,They have Muncie basket with all kinds of fried stuff.,2014-05-03 21:07:25,0
2088,H2CP4jNw9pU5Uh2WVzCNFw,BeqWMUzFZCqz8na056XFTQ,Cash Only,2015-09-04 22:42:51,0
2112,M9TjYmTgHayJ22cNkyvW_g,v8qw502wtQEGpQfMhCVW9w,Service could definitely step up its game. And its pace.,2016-05-15 17:33:50,0
2118,i_YIfMqN6FRXvUB8SmOP4Q,vs8orAK8nDXFxFiIfv0yYQ,"Best pizza in the area by far!! Finally, a legit NY style pizza!",2015-06-24 23:43:47,0
2134,psIpxqi3jOYkgLURtQKSiA,8R6VkHg7pNvW0mW2_KjDDg,The Crispy Romano Chicken Sandwich is still available to order; not sure why it's not on the menu but if you ask for it they will fix it up. Very delicious. Best Caesar salad ever. Lobster bisque is good as well.,2012-11-21 00:58:47,0
2143,IpReaQYuXO_nB07xnkHuNw,XM2qN3PiQbfSYo6zmHgSlQ,Mac & cheese bites...oh yeahhhh,2012-07-26 18:37:55,0
2187,W8aEASiNd_dNKSenrvSGHg,kzCG-KC3YVrQs7l-0d0b1w,Pizza is good. However one anchovies per slice is very skimpy.,2016-11-14 18:31:16,0
2211,Sb4aEQHKeVLxHnQpKdETGw,-httBl6DSZiUtDX4SQWtag,Help! I ate too much and now I don't wanna get up!,2015-06-15 02:15:57,0
2244,LREQb6yLRLeJmb6RFZTPXA,Q9jOi1245KEyb-vehMUeFA,I love the fresh large portions of eggplant parmesan. And their garlic knots are what keeps me coming back time after time! Whoa doggy! Yum!,2014-01-26 21:51:05,0
2246,3O-1T3H565Xx2CZtsU82qA,LSyR_fhLdQkSBDIv64REuA,Best pie in town.  They trump all pizzas places around!,2016-12-19 00:05:33,0
2268,-6h7hSURPpxDvziFljEPxQ,CnmhEiSGkIgUdFGN-rpaHw,"Better pizza than my all time favorite in my hometown,  Larosas",2014-06-04 02:44:46,0
2276,6XJrBy1DtlHvzeAAAT2ltQ,koqazXBW7wAZVry72u5vEw,Chicken Parm Hoagie Amazing!,2012-10-16 21:14:59,0
2295,PHilqp3w6eyo6nztpToOPw,fiRbomFAAtfTYOTTtnDUcA,Great place for draft beer!,2014-07-19 02:43:23,0
2341,nmbtxCvYfnqH0_ptlvoPaw,lK_iVjCur58if_XcbENGqg,pizza pizza,2011-10-22 18:43:47,0
2350,Zxw7aOdVHU0W_OgmZZqQ4w,6kD0vTLj3oZJm7kXRSvfKw,In love with meatballs.,2014-04-01 20:12:21,0
2380,7RN9fnrkGQ8yf9sdVsYsGQ,XwwjDG5z91z4fxxUYW-yxw,I love this place! I am hooked on the fatoosh salad and lentil soup.,2016-08-17 17:07:42,0
2427,G-MYsPWoHOZsy-kAYi4kCg,I2EHSRP50SXxvfoWc8MIWw,Greasy...looks like a pizza....the 5 kids that are partying here today will eat it and it's cheap..I'll eat a hot dog while they eat grease.,2012-04-02 23:38:32,0
2447,Zb2vrig_ZnK-k-Jde9I-yQ,3nDxqHvf7L5AdEAAeMaQAg,Staff is unprofessional. Didn't put bread bites in until pizza was done making the wait longer. Food is good but it doesn't compensate for the lack of efficiency,2013-03-19 05:15:54,0
2454,vInhYl7i3v9UsYkmcm_ZUA,i_1ORltzRXvf9H2rvfS-Ag,Grape leaves taste pretty good..,2013-08-23 22:46:09,0
2477,E73xr_twLJZemdGrXWQobQ,kwMJ4KfhEcrk9jiMe-S6wQ,They serve wine!!  Any place that serves wine and gelato is a-okay in my book!!,2012-05-26 04:44:56,0
2484,B_4cl4IGRqYb0wQSe-rYjQ,aEH2WZFMzLcbJmTiu1urMg,Terrible,2013-12-24 13:26:52,0
2486,QSUb8bedwQNjFqx5izHLfg,WKlMFUCGI7dCysGkFLWvaQ,Get the mozzarella. Don't think or question. Just order.,2013-12-14 01:02:25,0
2505,oK608YMwIoMa4XujD0Ckng,XggUqVcri5eth2_ZqILqqA,$5 Hot and Ready Pizza! Cant go wrong!,2014-03-05 02:31:57,0
2509,135DbbQnr3BEkQbBzZ9T1A,A-IqLvBfU5Gr_b9HVLETTw,"Kind of greasy, but it beats Vocelli's.",2014-10-05 03:08:10,0
2517,OFh0f5zmSZCVs38OW6w3cw,MSc5pybthcvHa0g_lg5wuQ,There's one girl who answers the phone who likes to screw with you. When she purposely repeated your order back wrong after being corrected a 2nd time - it's not you. Call the manager n tell them about it.,2013-10-10 22:50:13,0
2518,Ki3WXOjCrCLCi_xEqSpcvg,3ZQxw4vY0HBuS7KeiWmyew,"Great prices, friendly staff and tasty pizza!",2012-11-25 00:34:49,0
2519,Gv7Cmnkyv2v8kTMD8clMww,hUCujBvgttk5jNh_uQwi2Q,Huge price increases as of January 2017 :(,2017-01-17 23:21:27,0
2520,Yd2h65aTJfoJygutZz3lJQ,XM2qN3PiQbfSYo6zmHgSlQ,Get the pizza,2013-12-15 16:20:37,0
2529,JzCQr4cppA7HNdSjwSd7qA,BMR_AsSBzTQHqW-SQabI4w,The white pizza had no flavor! But the quinoa salad was delish!,2012-10-16 01:02:28,0
2531,61xeeQrsst4ISeH5_TT-tg,829Kv1uZJj5q8sr2G0mnvA,Try the Philly cheesesteak pizza!,2014-01-18 17:14:13,0
2536,PuPWzbQJ6P_tax-holDgSQ,JZ4ZRdRSllhuAt94tFCH8w,Big thumbs up to this place!!!,2013-06-24 16:17:15,0
2547,eVBJgxQg-XRMImQFYwta-Q,Zja7ykq3icDzkN20XX6j1w,Fantastic pizza. Best in the 'Burgh if you like a slightly sweet sauce.,2016-05-08 20:34:52,0
2596,95S3-JlXk0vIHX77zPDk4w,J9f-9Prw2YVM-fiZqv2fmQ,Regular hot dog is no longer $3.99. It's $4.26.,2017-06-21 13:37:27,0
2601,uPxY3FjK-ESxiwUJ_kpbfg,MSrcYJoM9cNLS9-wfTZX3w,Great Bruschetta!,2014-07-07 01:33:38,0
2655,JDvHUZmWy_cYe-j76gZOXQ,hUCujBvgttk5jNh_uQwi2Q,"$2 slices, local ingredients, and absolutely in the hood...it's pretty fabulous",2013-06-08 22:38:48,0
2662,A69QAmKSdW45kUIqd4FESg,WKlMFUCGI7dCysGkFLWvaQ,Pretty solid Italian food.,2017-12-24 04:02:15,0
2669,suFjp5qeWB2MuY1pTNQ4Pg,Y-c1m8-0Sa0xnYpm_bRxWw,Best pizza around!,2017-03-22 22:01:10,0
2678,o9cHwoFocl2YCsg9mg7MCw,aEH2WZFMzLcbJmTiu1urMg,Go during non rush hours,2016-11-21 00:18:04,0
2691,JUT0U3HTSB3kz9Wh7N0GqA,C37hwsGUHn_3-il0ypeY-Q,"Thursday is the new Friday. Shots are... well, just shots.",2013-08-16 01:04:35,0
2755,5VNvWC4xG19wFCQfauEPig,J9f-9Prw2YVM-fiZqv2fmQ,Must stop dog shop,2012-04-05 18:09:31,0
2794,A_xd7iwTQ9fhtduHYboudg,w4a6TuFWArSc29dB51rPNA,Great food and the staff was very friendly. I will definitely be back.,2015-03-11 18:30:08,0
2822,XiI5xGq5FxWIwDnc58geVw,CS2oAjAiFrJiG2HUtKJUHQ,Delicious pork chop & a must try served with fresh mushroom & dry cranberry risotto... Lunch time!,2016-10-12 15:37:14,0
2833,3z1EttCePzDn9OZbudD5VA,hQMx2ZbGAa_oxJNpnTZf8Q,"Beef stroganoff or stuffed pepper special, two sides and desert!!!",2012-01-03 22:48:00,0
2845,-h4nHEPASpo_vL5cUvdQxA,pqsNkM5pgbio1x-2HQoefw,They have an app,2017-07-17 22:26:53,0
2859,NJqmAzerpbAIC0-VBclwgA,Y4vnA8okdRLoFOKSTWVd2g,Kinda snotty behind the bar.,2012-02-04 18:38:47,0
2950,92tQdX4YBO3HqAPOvW8pCA,x-ZnHkRIhpGwZ_7VwiKlRg,Great pizza but expensive for their size!,2014-09-22 04:03:50,0
2952,BYHm-dCBHRtiUDgOfFgLhw,TG2lWzpspxiVL9kDfGt5Eg,8 dollar one item pizza!!!  Excellent!!!!,2014-04-01 16:36:22,0
