Index,En,Ch,Check
323,man,人,0
324,marinara,林纳拉,1
325,pork,猪肉,1
326,italy,意大利,0
327,spaghetti,意大利面,1
328,cheesy,俊俏的,0
329,lettuce,生菜,1
330,help,救命,0
331,bbq,烧烤,1
332,gyro,陀螺仪,0
333,hoagy,吉卡,0
334,loud,响,0
335,understand,理解,0
336,chewy,劲道,0
337,music,音乐,1
338,wood,木,0
339,standard,标准,0
340,pleasant,愉快,0
341,charge,收费,0
342,world,世界,0
343,packed,包装,0
344,lasagna,烤宽面条,1
345,gelato,冰淇淋,1
346,hut,棚屋,0
347,rest,休息,0
348,number,数,0
349,parm,PARM,0
350,birthday,生日,0
351,basil,罗勒,0
352,longer,长,0
353,cocktail,鸡尾酒,1
354,thank,谢谢,0
355,chip,芯片,0
356,chance,机会,0
357,paid,支付,0
358,wow,哇,0
359,cost,成本,0
360,credit,信用,0
361,crisp,脆,0
362,stuff,东东,0
363,grab,抓,0
364,pricey,昂贵的,0
365,ok.,好。,0
366,eggplant,茄子,1
367,mac,苹果电脑,0
368,gnocchi,汤团,1
369,cash,现金,0
370,tap,龙头,0
371,hill,爬坡道,0
372,butter,牛油,1
373,ravioli,馄饨,1
374,sorry,抱歉,0
375,frozen,冻结的,0
376,bottom,底部,0
377,taco,塔科,1
378,set,组,0
379,etc,等等,0
380,awful,可怕,0
381,papa,爸爸,0
382,pesto,香蒜,1
383,ball,球,0
384,ton,吨,0
385,wall,壁,0
386,share,分享,0
387,daughter,女儿,0
388,son,儿子,0
389,summer,夏季,0
390,thanks,谢谢,0
391,watch,看,0
392,app,应用,0
393,kept,不停,0
394,ambiance,氛围,0
395,tender,投标,0
396,dog,狗,0
397,margherita,玛格丽塔,1
398,miss,小姐,0
399,lady,淑女,0
400,sign,标志,0
401,picked,采摘的,0
402,salty,咸,0
403,mediocre,平庸,0
404,mom,妈妈,0
405,dollar,美元,0
406,chocolate,巧克力,1
407,hold,保持,0
408,event,事件,0
409,yum,百胜,0
410,beautiful,美丽,0
411,square,广场,0
412,gem,宝石,0
413,knew,知道,0
414,mistake,错误,0
415,bowl,碗,0
416,york,纽约,0
417,park,公园,0
418,opinion,意见,0
419,cozy,舒适,0
420,stay,留,0
421,word,字,0
422,outdoor,户外,0
423,middle,中间,0
424,head,头,0
425,window,窗口,0
426,idea,理念,0
427,forgot,忘记,0
428,boy,男孩,0
429,gotten,得到,0
430,note,注意,0
431,vibe,盛传,0
432,leftover,剩,0
433,dip,蘸,0
434,strip,跳闸,0
435,addition,加成,0
436,crowd,人群,0
437,cup,杯子,0
438,ohio,俄亥俄州,0
439,pizzeria,比萨店,1
440,talk,谈论,0
441,coffee,咖啡,1
442,takeout,取出,1
443,management,管理,1
444,school,学校,0
445,draft,草案,0
446,building,建造,1
447,wedding,婚礼,0
448,brick,砖,0
449,level,水平,0
450,woman,女人,0
451,read,读,0
452,tv,电视,1
453,mine,矿,0
454,multiple,多,0
455,sort,分类,0
456,treat,对待,0
457,domino,骨牌,0
458,mouth,口,0
459,prefer,比较喜欢,0
460,dirty,脏,0
461,plan,计划,0
462,rating,评分,0
463,alfredo,阿尔弗雷多,0
464,die,死,0
465,fair,公平,0
466,ny,纽约,0
467,stand,站,0
468,finish,完,0
469,car,汽车,0
470,write,写,0
471,mention,提到,0
472,ricotta,凝乳,1
473,combination,组合,0
474,beat,击败,0
475,lack,缺乏,0
476,hotel,旅馆,0
477,soda,苏打,1
478,rib,肋骨,1
479,perfection,完美,0
480,calamari,鱿鱼,1
481,attitude,态度,1
482,crunchy,脆脆,1
483,hear,听,0
484,booth,亭,0
485,college,学院,0
486,value,值,0
487,mix,混合,0
488,guest,来宾,0
489,sad,伤心,0
490,future,未来,0
491,picture,图片,0
492,question,题,0
493,weird,奇怪的,0
494,child,儿童,0
495,arugula,芝麻菜,1
496,dine,进餐,0
497,pan,泛,0
498,carry,携带,0
499,vegetable,蔬菜,1
500,case,案件,0
501,craft,手艺,0
502,salmon,三文鱼,1
503,corner,角,0
504,john,约翰,0
505,chose,选择,0
506,pm,下午,0
507,salt,盐,1
508,buck,降压,0
509,crazy,疯,0
510,hate,讨厌,0
511,recommendation,建议,0
512,topped,突破,0
513,garden,花园,0
514,shot,射击,0
515,artichoke,朝鲜蓟,1
516,website,网站,0
517,margarita,玛格丽塔,1
518,seafood,海鲜,1
519,byob,BYOB,1
520,crab,螃蟹,1
521,monday,星期一,0
522,calzones,calzones,0
523,prosciutto,火腿,1
524,caesar,凯撒,1
525,veal,小牛肉,1
526,texture,质地,0
527,touch,触摸,0
528,bean,豆角，扁豆,1
529,grease,润滑脂,1
530,update,更新,0
531,turn,转,0
532,afternoon,下午,0
533,south,南,0
534,matter,物,0
535,cute,可爱,0
536,forget,忘记,0
537,creamy,奶油,1
538,view,视图,0
539,correct,正确,0
540,checked,检查,0
541,refund,退,0
542,attention,注意,0
543,fancy,幻想,0
544,product,产品,0
545,lemon,柠檬,1
546,offering,供,0
547,honey,蜜糖,1
548,east,东,0
549,expectation,期望,0
550,occasion,场合,0
551,refill,充值,0
552,none,没有,0
553,edge,边缘,0
554,center,中央,0
555,mile,英里,0
556,spice,香料,1
557,folk,民间,0
558,conversation,会话,0
559,girlfriend,女朋友,0
560,fall,秋季,0
561,speak,说话,0
562,smell,闻,0
563,avoid,避免,0
564,answer,回答,0
565,phenomenal,非凡的,0
566,noodle,面条,1
567,angelo,安杰洛,0
568,suggest,建议,0
569,state,州,0
570,sound,声音,0
571,buffet,自助餐,1
572,worker,工人,1
573,porch,门廊,0
574,patron,顾客,0
575,complain,抱怨,0
576,go-to,去,0
577,dark,黑暗,0
578,eye,眼,0
579,appreciate,欣赏,0
580,bun,包子,1
581,spend,花,0
582,bag,袋,0
583,waste,浪费,0
584,road,路,0
585,heart,心,0
586,tuesday,星期二,0
587,kinda,有点儿,0
588,banana,香蕉,0
589,bathroom,浴室,0
590,yeah,是啊,0
591,surprise,惊,0
592,pop,流行,0
593,interior,室内,0
594,tiramisu,提拉米苏,1
595,doughy,面团,1
596,mess,食堂,0
597,spent,花费,0
598,brew,酿造,0
599,polite,有礼貌,0
600,notch,缺口,0
601,panini,帕尼尼,1
602,brewery,酿酒厂,0
603,lobster,龙虾,1
604,wrap,包,0
605,blue,蓝色,0
606,disappoint,辜负,0
607,upstairs,楼上,0
608,cider,苹果酒,1
609,cooking,烹饪,1
610,lover,情人,0
611,west,西方,0
612,sent,SENT,0
613,request,请求,0
614,diner,餐车,1
615,brother,哥哥,0
616,fire,火,0
617,brown,棕色,0
618,hidden,隐,0
619,paper,纸,0
620,environment,环境,1
621,play,玩,0
622,consistent,一贯,0
623,lakewood,莱克伍德,0
624,mineo,峰尾,0
625,north,北,0
626,prompt,提示,0
627,parent,亲,0
628,la,啦,0
629,concept,概念,0
630,face,面对,0
631,company,公司,0
632,thursday,星期四,0
633,raw,生的,0
634,continue,继续,0
635,bunch,束,0
636,hair,头发,0
637,chair,椅子,0
638,yesterday,昨天,0
639,lol,大声笑,0
640,sport,运动,0
641,mood,心情,0
642,sprout,发芽,0
643,damn,该死的,0
644,combo,二合一,0
645,disappointment,失望,0
646,hang,挂,0
647,round,回合,0
648,student,学生,0
649,dozen,打,0
650,goat,山羊,0
651,odd,奇,0
652,zucchini,夏南瓜,1
653,inch,英寸,0
654,become,成为,0
655,hung,鸿,0
656,pickup,拾起,0
657,meet,遇到,0
658,pas,PAS,0
659,tea,茶,1
660,ten,十,0
661,move,移动,0
662,comment,评论,0
663,greek,希腊语,0
664,fill,填,0
665,donut,甜甜圈,1
666,broccoli,西兰花,1
667,opening,开盘,0
668,met,MET,0
669,shame,耻辱,0
670,decide,决定,0
671,dont,别,0
672,feta,羊,1
673,sister,妹妹,0
674,suck,吮吸,0
675,heat,热,0
676,imagine,想像,0
677,situation,情况,0
678,ale,麦酒,1
679,member,会员,0
680,zero,零,0
681,suggestion,建议,0
682,balsamic,香醋,1
683,doubt,怀疑,0
684,picky,挑剔,0
685,feed,饲料,0
686,meh,MEH,0
687,rock,岩,0
688,morning,早上,0
689,weather,天气,0
690,mall,购物中心,0
691,step,步,0
692,convenient,方便,0
693,rush,赶,0
694,welcome,欢迎,0
695,efficient,高效,0
696,board,板,0
697,whenever,每当,0
698,sell,卖,0
699,support,支持,0
700,ham,火腿,1
701,chunk,块,0
702,fault,故障,0
703,receive,接收,0
704,market,市场,0
705,turkey,火鸡,1
706,risotto,烩饭,1
707,ring,环,0
708,gourmet,美食,0
709,absolute,绝对,0
710,straight,直行,0
711,block,块,0
712,wednesday,星期三,0
713,goodness,善良,0
714,napkin,餐巾,1
715,bought,买,0
716,break,打破,0
717,bother,烦,0
718,difference,区别,0
719,drunk,醉,0
720,honest,诚实,0
721,apps,应用,0
722,host,主办,0
723,pub,酒馆,0
724,nacho,纳乔,0
725,send,发送,0
726,tasteless,无味,0
727,pretzel,椒盐卷饼,1
728,reading,读,0
729,mother,母亲,0
730,fix,固定,0
731,neapolitan,那不勒斯,0
732,adult,成人,0
733,apology,歉意,0
734,beverage,饮料,1
735,recipe,食谱,1
736,agree,同意,0
737,god,神,0
738,club,俱乐部,0
739,giant,巨人,0
740,sample,样品,0
741,lake,湖,0
742,story,故事,0
743,penne,通心粉,1
744,cheesecake,芝士蛋糕,1
745,cause,原因,0
746,kick,踢,0
747,baby,宝宝,0
748,balance,平衡,0
749,awhile,一会儿,0
750,excuse,借口,0
751,notice,注意,0
752,lamb,羊肉,1
753,hey,嘿,0
754,leaf,叶,0
755,il,金正日,0
756,container,容器,0
757,smile,微笑,0
758,nyc,纽约,0
759,par,平价,0
760,mussel,蚌,0
761,toast,烤面包,1
762,system,系统,0
763,dad,爸,0
764,sense,感,0
765,staple,钉书针,0
766,favor,青睐,0
767,provolone,波萝伏洛干酪,1
768,living,活的,0
769,del,德尔,0
770,fiori,菲奥里,0
771,bj,BJ,0
772,closer,接近,0
773,fee,费用,1
774,pickle,泡菜,1
775,omg,我的天啊,0
776,mama,妈妈,0
777,version,版,0
778,strange,奇怪,0
779,ran,然,0
780,di,迪,0
781,hell,地狱,0
782,stood,站在,0
783,spoke,辐,0
784,discount,折扣,0
785,proper,正确,0
786,delish,顿饭真够,0
787,burgh,巴勒,0
788,drinking,喝,0
789,consistency,一致性,0
790,rare,罕见,0
791,dive,潜水,0
792,nickel,镍,0
793,threw,扔,0
794,serf,农奴,0
795,na,呐,0
796,book,书,0
797,crunch,紧缩,0
798,fat,脂肪,1
799,spectacular,壮观,0
800,clam,蛤,0
801,fare,票价,0
802,stuck,卡住,0
803,pricing,价钱,0
804,plastic,塑料,0
805,explain,说明,0
806,stomach,胃,0
807,blend,混合,0
808,address,地址,0
809,bright,亮,0
810,apple,苹果,1
811,wonder,奇迹,0
812,throw,扔,0
813,chili,辣椒,1
814,vodka,伏特加,1
815,build,建立,0
816,rate,率,0
817,cannoli,香炸奶酪卷,1
818,caprese,卡普雷塞,1
819,deluxe,豪华,0
820,register,寄存器,0
821,machine,机,0
822,ipa,IPA,0
823,gift,礼品,0
824,process,处理,0
825,candle,蜡烛,0
826,take-out,取出,0
827,station,站,0
828,rice,白饭,0
829,knot,结,0
830,hubby,丈夫,0
831,joke,玩笑,0
832,pita,皮塔,1
833,hype,炒作,0
834,gravy,卤,0
835,plentiful,丰富,0
836,moment,时刻,0
837,section,部分,0
838,platter,大盘子,0
839,heaven,天堂,0
840,mary,玛丽,0
841,sick,生病,0
842,juicy,多汁,0
843,wisconsin,威斯康星,0
844,flatbread,大饼,1
845,pool,池,0
846,cardboard,纸板,0
847,response,响应,0
848,frequent,频繁,0
849,air,空气,0
850,oakland,奥克兰,0
851,downstairs,楼下,0
852,admit,承认,0
853,flavorless,无味的,0
854,needle,针,0
855,cherry,樱桃,1
856,cafe,咖啡店,1
857,marsala,马沙拉,1
858,fit,适合,0
859,champaign,原野,0
860,sugar,糖,1
861,snack,小吃,1
862,alright,好的,0
863,flight,飞行,0
864,al,人,0
865,mediterranean,地中海,0
866,cauliflower,菜花,1
867,figure,数字,0
868,scallop,扇贝,1
869,somehow,不知何故,0
870,river,河,0
871,bloody,血腥,0
872,cookie,曲奇饼,1
873,team,球队,0
874,campus,校园,0
875,terrific,了不起,0
876,desert,沙漠,0
877,herb,草本植物,0
878,ground,地面,0
879,reviewer,评论家,0
880,sour,酸,0
881,cheaper,便宜,0
882,bomb,炸弹,0
883,country,国家,0
884,crap,掷骰子,0
885,memory,记忆,0
886,melt,熔化,0
887,winter,冬季,0
888,reminds,提醒,0
889,regret,后悔,0
890,describe,描述,0
891,mark,标记,0
892,provide,提供,0
893,fluffy,蓬松,0
894,skip,跳跃,0
895,gooey,感伤的,0
896,ta,TA,0
897,delicious,美味的,0
898,wing,翅膀,1
899,topping,配料,1
900,special,特别,0
901,dressing,敷料,1
902,must,必须,0
903,white,白色,0
904,olive,橄榄,1
905,green,绿色,0
906,serving,服务,1
907,filling,填充,0
908,seasoning,调味料,1
909,hummus,鹰嘴豆泥,1
910,pineapple,菠萝,1
911,edible,食用,0
912,starter,起动机,0
913,corn,玉米,1
914,cooky,点心,1
915,ketchup,番茄酱,1
916,beet,甜菜,1
917,savory,香香,1
918,iceberg,冰山,1
919,alcohol,醇,0
920,carbonara,培根蛋面,1
921,tuna,金枪鱼,1
922,eater,吃,0
923,truffle,松露,1
924,scratch,刮,0
925,mayo,梅奥,0
926,frank,坦率,0
927,cucumber,黄瓜,1
928,waffle,胡扯,0
929,cuisine,烹饪,1
930,mustard,芥末,1
931,cheddar,切达乳酪,1
932,cinnamon,肉桂,1
933,spread,传播,0
934,vinaigrette,油醋汁,1
935,peanut,花生,1
936,coke,可乐,1
937,rigatoni,rigatoni,1
938,fig,图,1
939,eats,吃,0
940,pancake,饼子,1
941,orange,橙子,1
942,juice,果汁,1
943,antipasto,开胃菜,1
944,strawberry,草莓,1
945,helping,帮助,0
946,patty,肉饼,1
947,cheeseburger,乳酪汉堡,1
948,wheat,小麦,1
949,curd,凝乳,1
950,salami,萨拉米,1
951,salsa,莎莎,1
952,wedge,楔,0
953,skin,皮肤,0
954,breast,乳房,1
955,diet,饮食,1
956,slaw,色拉,1
957,chop,劈,0
958,roast,烤,0
959,stout,肥硕,0
960,chew,嚼,0
961,avocado,鳄梨,1
962,fettuccine,意大利宽面条,1
963,cracker,饼干,1
964,carrot,胡萝卜,1
965,squash,壁球,0
966,gorgonzola,戈尔贡佐拉,1
967,vinegar,尖酸刻薄,0
968,cooler,冷却器,0
969,anchovy,凤尾鱼,1
970,jam,果酱,1
971,grub,蛴螬,0
972,grape,葡萄,1
973,asparagus,芦笋,1
974,liquor,酒,1
975,pistachio,开心果,1
976,tater,塔特,1
977,sangria,西班牙果酒,1
978,leg,腿,1
979,walnut,核桃,1
980,candy,糖果,1
981,jalapeno,辣椒,1
982,rosemary,迷迭香,1
983,duck,鸭,1
984,falafel,沙拉三明治,1
985,brisket,胸部,1
986,bisque,浓汤,1
987,polenta,玉米粥,1
988,pastry,糕点,1
989,oregano,牛至,1
990,milk,牛奶,1
991,coleslaw,凉拌卷心菜,1
992,bitter,苦,0
993,loaf,面包,1
994,pumpkin,南瓜,1
995,almond,杏仁,1
996,hamburger,汉堡包,1
997,flour,面粉,1
998,generic,通用,0
999,chorizo,香肠,1
1000,martini,马蒂尼鸡尾酒,1
1001,ginger,生姜,1
1002,broth,肉汤,1
1003,reuben,鲁本,1
1004,linguine,扁,1
1005,chipotle,墨西哥辣椒,1
1006,kale,羽衣甘蓝,1
1007,brownie,布朗尼,1
1008,crouton,crouton,1
1009,brioche,鞋垫,0
1010,sushi,寿司,1
1011,blueberry,蓝莓,1
1012,ziti,ziti,1
1013,lemonade,柠檬汽水,1
1014,whiskey,威士忌酒,1
1015,espresso,浓咖啡,1
1016,blt,BLT,1
1017,pudding,布丁,1
1018,jack,插口,0
1019,chuck,夹头,0
1020,pear,梨,1
1021,macaroni,通心粉,1
1022,barbecue,烧烤,1
1023,bleu,布鲁,1
1024,dumpling,饺,1
1025,vanilla,香草,1
1026,bourbon,波旁酒,1
1027,tortilla,玉米饼,1
1028,syrup,糖浆,1
1029,filet,内圆角,1
1030,aioli,蛋黄酱,1
1031,supper,晚餐,1
1032,raspberry,覆盆子,1
1033,tortellini,饺子,1
1034,cole,油菜,1
1035,biscuit,饼干,1
1036,punch,冲床,0
1037,crumb,屑,0
1038,condiment,调味品,1
1039,cod,鳕鱼,1
1040,pepsi,百事可乐,1
1041,cranberry,蔓越莓,1
1042,linguini,意大利细面条,1
1043,fennel,茴香,1
1044,fryer,油炸锅,1
1045,pea,豌豆,1
1046,coconut,椰子,1
1047,mixture,混合物,1
1048,peach,桃子,1
1049,manicotti,manicotti,1
1050,hash,哈希,1
1051,grinder,磨床,0
1052,jerk,混蛋,0
1053,romaine,生菜,1
